NumeroOrden,AñoOrden,MesOrden,FechaOrden,TipoOrdendeCompra,CodigoProveedor,Proveedor,FormaPago,TipodeCambio,Moneda,CodigoMaterial,DescripcionMaterial,Cantidad,ValorUnitario,ValorTotal,Unidad,EstadoOrdendeCompra
1,2022,Junio,14/06/2022 00:00,NORMAL,10149,DUPACK. INC,180 DIAS C/FACTURA,863.33,DOLAR,BORA1328,BOLSA RACIMO Z.POUCH SOFT S/L #4022 GREEN T22-23,26,16700,434200,UNI,APROBADA
2,2022,Junio,15/06/2022 00:00,NORMAL,514,SURAGRA S.A,90 DIAS C/FACTURA,866.79,DOLAR,BOCH1104,BOLSA STAND UP CHERRIE PLU 4045 CON GRAFICA,126,7500,945000,UNI,APROBADA
2,2022,Junio,15/06/2022 00:00,NORMAL,514,SURAGRA S.A,90 DIAS C/FACTURA,866.79,DOLAR,CTAB1121,ABSOR PAD 260X230 CON PLASTICO (2.5KG) 21-22,74,13300,SIN REGISTRO,UNI,APROBADA
2,2022,Junio,15/06/2022 00:00,NORMAL,514,SURAGRA S.A,90 DIAS C/FACTURA,866.79,DOLAR,CTAB1122,ABSOR PAD 260X460 CON PLASTICO (5.0KG) 21-22,126,12900,1625400,UNI,APROBADA
3,2022,Junio,15/06/2022 00:00,NORMAL,486,PRODUCTOS DE EMPAQUE LTDA,90 DIAS C/FACTURA,866.79,DOLAR,CTAB1108,ABSOR PAD 270X470 BILAMINAR,142,4800,681600,UNI,APROBADA
3,2022,Junio,15/06/2022 00:00,NORMAL,486,PRODUCTOS DE EMPAQUE LTDA,90 DIAS C/FACTURA,866.79,DOLAR,CTAB1116,ABSOR PAD 260X230 BILAMINAR,5,19400,97000,UNI,APROBADA
4,2022,Junio,16/06/2022 00:00,NORMAL,10155,LAS YUNGAS SPA,120 DIAS C/FACTURA,863.95,DOLAR,BOAM1166,BOLSA CAMISA 790X450  CHERRY LIFE SPAN 5.0 KG (LHS209),25,16600,415000,UNI,APROBADA
4,2022,Junio,16/06/2022 00:00,NORMAL,10155,LAS YUNGAS SPA,120 DIAS C/FACTURA,863.95,DOLAR,BOAM1170,BOLSA CAMISA 54X40 CHERRY LIFE SPAIN 2.0-2.5 KG (LHS305B) GE,1,20900,20900,UNI,APROBADA
4,2022,Junio,16/06/2022 00:00,NORMAL,10155,LAS YUNGAS SPA,120 DIAS C/FACTURA,863.95,DOLAR,BOAM1180,BOLSA CAMISA 56X40 AEREA MACRO 03% LIFE SPAIN 2.0-2.5 KG (TH55) GE,151,5600,845600,UNI,APROBADA
5,2022,Mayo,31/05/2022 00:00,NORMAL,10229,SURAGRA SAC,90 DIAS C/FACTURA,826.26,DOLAR,PEBO1146,BOLSA RACIMO ZIP-CPP CLEAR #4022 GREEN PERU T22-23,8,19900,SIN REGISTRO,UNI,APROBADA
5,2022,Mayo,31/05/2022 00:00,NORMAL,10229,SURAGRA SAC,90 DIAS C/FACTURA,826.26,DOLAR,PEBO1147,BOLSA RACIMO ZIP-CPP CLEAR #4023 RED PERU T22-23,137,5700,780900,UNI,APROBADA
6,2022,Junio,28/06/2022 00:00,NORMAL,103654,EMBALAJES STANDARD SAC,60 DIAS C/FACTURA,911.49,DOLAR,PECJ1115,CAJA MAD 300X400X125 IMPRESA PURA GESEX T21-22,8,18800,150400,UNI,APROBADA
7,2022,Junio,28/06/2022 00:00,NORMAL,103700,INVENA PERU SAC,60 DIAS C/FACTURA,911.49,DOLAR,PEPO1104,POTE PET 500 GRS H85 (ILIP),59,13100,772900,UNI,APROBADA
8,2022,Junio,28/06/2022 00:00,NORMAL,182,CARTOCOR CHILE S.A.,90 DIAS C/FACTURA,911.49,DOLAR,CJCT1141,CAJA CTN 300X400X093/102 MAQ/P84-1 QILIN MASTER T18-19,83,12400,1029200,UNI,APROBADA
8,2022,Junio,28/06/2022 00:00,NORMAL,182,CARTOCOR CHILE S.A.,90 DIAS C/FACTURA,911.49,DOLAR,CJCT1275,CAJA�CTN 300X500X094/100 MAQ/P84-L MASTER QILIN T 20-21,177,1900,336300,UNI,APROBADA
8,2022,Junio,28/06/2022 00:00,NORMAL,182,CARTOCOR CHILE S.A.,90 DIAS C/FACTURA,911.49,DOLAR,CJCT1276,CAJA�CTN 300X500X094/100 MAQ/P84-L MASTER QIDU T 20-21,32,12600,403200,UNI,APROBADA
8,2022,Junio,28/06/2022 00:00,NORMAL,182,CARTOCOR CHILE S.A.,90 DIAS C/FACTURA,911.49,DOLAR,CJCT1513,CAJA CTN 275X233X091 MAQ/MALETA CHERRIES CC 2.5 KG QILIN T22-23,64,13300,851200,UNI,APROBADA
8,2022,Junio,28/06/2022 00:00,NORMAL,182,CARTOCOR CHILE S.A.,90 DIAS C/FACTURA,911.49,DOLAR,CJCT1514,CAJA CTN 275X233X091 MAQ/MALETA CHERRIES CC 2.5 KG QIDU T22,67,12900,864300,UNI,APROBADA
8,2022,Junio,28/06/2022 00:00,NORMAL,182,CARTOCOR CHILE S.A.,90 DIAS C/FACTURA,911.49,DOLAR,FOCT1146,FONDO CTN 300X500X104/110 MAQ/P84-L2 KRAFT CEREZAS T20-21,60,13200,792000,UNI,APROBADA
8,2022,Junio,28/06/2022 00:00,NORMAL,182,CARTOCOR CHILE S.A.,90 DIAS C/FACTURA,911.49,DOLAR,FOCT1151,FONDO CTN 300X250X087/94 MAQ/KRAFT (2.5 KG)  T22-23,88,10900,959200,UNI,APROBADA
8,2022,Junio,28/06/2022 00:00,NORMAL,182,CARTOCOR CHILE S.A.,90 DIAS C/FACTURA,911.49,DOLAR,FOCT1152,FONDO CTN 305X508X088/094 MAQ/P84-LL KRAFT CEREZA T22-23,88,13400,1179200,UNI,APROBADA
8,2022,Junio,28/06/2022 00:00,NORMAL,182,CARTOCOR CHILE S.A.,90 DIAS C/FACTURA,911.49,DOLAR,TACT1208,TAPA CTN 300X500X100/110 MAQ/TELESCOPICA GESEX T20-21,64,13900,889600,UNI,APROBADA
8,2022,Junio,28/06/2022 00:00,NORMAL,182,CARTOCOR CHILE S.A.,90 DIAS C/FACTURA,911.49,DOLAR,TACT1214,TAPA CTN 305X508X093/096 MAQ/TELESCOPICA CONEJO T22-23,27,16600,448200,UNI,APROBADA
8,2022,Junio,28/06/2022 00:00,NORMAL,182,CARTOCOR CHILE S.A.,90 DIAS C/FACTURA,911.49,DOLAR,TACT1215,TAPA CTN 305X508X093/096 MAQ/TELESCOPICA QIDU T22-23,14,19200,268800,UNI,APROBADA
8,2022,Junio,28/06/2022 00:00,NORMAL,182,CARTOCOR CHILE S.A.,90 DIAS C/FACTURA,911.49,DOLAR,TACT1216,TAPA CTN 305X508X093/096 MAQ/TELESCOPICA QILIN T22-23,78,12200,951600,UNI,APROBADA
8,2022,Junio,28/06/2022 00:00,NORMAL,182,CARTOCOR CHILE S.A.,90 DIAS C/FACTURA,911.49,DOLAR,TACT1217,TAPA CTN 304X253X092/097 MAQ/QULIN (2.5 KG) T22-23,109,9800,1068200,UNI,APROBADA
9,2022,Julio,11/07/2022 00:00,NORMAL,10229,SURAGRA SAC,90 DIAS C/FACTURA,966.74,DOLAR,PEGE1101,GENERADOR CTN 330X460 6.0 GR AZUL (USA),198,19800,3920400,UNI,APROBADA
9,2022,Julio,11/07/2022 00:00,NORMAL,10229,SURAGRA SAC,90 DIAS C/FACTURA,966.74,DOLAR,PEGE1102,GENERADOR CTN 330X460 6.0 GR VERDE (EUR),24,17500,420000,UNI,APROBADA
10,2022,Julio,11/07/2022 00:00,NORMAL,103653,DICOMSA SA,60 DIAS C/FACTURA,966.74,DOLAR,PEAD1113,ADH BLANCO  7.5X3.5 CM MAQUINA IMPRESORA,148,5700,843600,UNI,APROBADA
10,2022,Julio,11/07/2022 00:00,NORMAL,103653,DICOMSA SA,60 DIAS C/FACTURA,966.74,DOLAR,PEAD1120,ADH SELLO CAMISA C/IMPRESION PURA GESEX T21-22,51,15800,805800,UNI,APROBADA
10,2022,Julio,11/07/2022 00:00,NORMAL,103653,DICOMSA SA,60 DIAS C/FACTURA,966.74,DOLAR,PEAD1132,ADH BLANCO  2.0X3.0 CM MAQUINA IMPRESORA,32,16500,528000,UNI,APROBADA
10,2022,Julio,11/07/2022 00:00,NORMAL,103653,DICOMSA SA,60 DIAS C/FACTURA,966.74,DOLAR,PEAD1416,ADH STICKER CIRCULAR (G) GRANELES VERDE,75,13100,982500,UNI,APROBADA
11,2022,Julio,11/07/2022 00:00,NORMAL,514,SURAGRA S.A,90 DIAS C/FACTURA,966.74,DOLAR,BOPF1126,BOLSA PESO FIJO 2 LBS PLUMS ALDI GESEX TEM 17-18,99,9300,920700,UNI,APROBADA
11,2022,Julio,11/07/2022 00:00,NORMAL,514,SURAGRA S.A,90 DIAS C/FACTURA,966.74,DOLAR,BOPF1128,BOLSA PESO FIJO 2 LBS PEACHES ALDI GESEX TEM 17-18,35,15700,549500,UNI,APROBADA
11,2022,Julio,11/07/2022 00:00,NORMAL,514,SURAGRA S.A,90 DIAS C/FACTURA,966.74,DOLAR,BOPF1131,BOLSA PESO FIJO 4 LBS NECTARINES SAM`S TEM 19-20,160,3800,608000,UNI,APROBADA
11,2022,Julio,11/07/2022 00:00,NORMAL,514,SURAGRA S.A,90 DIAS C/FACTURA,966.74,DOLAR,BOPF1133,BOLSA PESO FIJO 4 LBS NE WHITE SAM`S TEM 21-22,89,12100,1076900,UNI,APROBADA
12,2022,Julio,13/07/2022 00:00,NORMAL,103658,LINEA PET PERU SA,120 DIAS C/FACTURA,1008.81,DOLAR,PECL1101,CLAMSHELL PET 3 LBS UVAS SAM�S ALT 126,161,4900,788900,UNI,APROBADA
13,2022,Julio,13/07/2022 00:00,NORMAL,103700,INVENA PERU SAC,60 DIAS C/FACTURA,1008.81,DOLAR,PEBO1107,BOLSA CAMISA 950X650 PERFORADA / NATURAL  0.97 % VENT,9,18500,166500,UNI,APROBADA
13,2022,Julio,13/07/2022 00:00,NORMAL,103700,INVENA PERU SAC,60 DIAS C/FACTURA,1008.81,DOLAR,PEBO1111,BOLSA CAMISA 1050X650 PERFORADA / NATURAL  0.3 % VENT,70,13500,945000,UNI,APROBADA
13,2022,Julio,13/07/2022 00:00,NORMAL,103700,INVENA PERU SAC,60 DIAS C/FACTURA,1008.81,DOLAR,PEBO1132,BOLSA CAMISA 750X550 PERFORADA / NATURAL 0.3% VENT,106,10200,1081200,UNI,APROBADA
